entity_id,state,last_changed
switch.wasserbett_heizung,on,2025-09-25T19:07:51.305Z
switch.wasserbett_heizung,null,2025-09-25T19:07:51.307Z
switch.wasserbett_heizung,on,2025-09-25T19:09:17.263Z
switch.wasserbett_heizung,unavailable,2025-09-25T19:12:23.681Z
switch.wasserbett_heizung,on,2025-09-25T19:12:24.397Z
switch.wasserbett_heizung,off,2025-09-25T23:27:45.006Z
switch.wasserbett_heizung,on,2025-09-26T17:00:18.133Z
switch.wasserbett_heizung,off,2025-09-26T17:00:42.014Z
switch.wasserbett_heizung,on,2025-09-26T17:01:12.101Z
switch.wasserbett_heizung,off,2025-09-26T17:01:42.045Z
switch.wasserbett_heizung,on,2025-09-26T17:02:12.134Z
switch.wasserbett_heizung,off,2025-09-26T17:02:42.158Z
switch.wasserbett_heizung,on,2025-09-26T17:03:12.136Z
switch.wasserbett_heizung,off,2025-09-26T17:03:42.145Z
switch.wasserbett_heizung,on,2025-09-26T17:04:12.017Z
switch.wasserbett_heizung,off,2025-09-26T17:04:41.958Z
switch.wasserbett_heizung,on,2025-09-26T17:05:11.993Z
switch.wasserbett_heizung,off,2025-09-26T17:05:41.928Z
switch.wasserbett_heizung,on,2025-09-26T17:06:11.971Z
switch.wasserbett_heizung,off,2025-09-26T17:06:42.159Z
switch.wasserbett_heizung,on,2025-09-26T17:07:12.053Z
switch.wasserbett_heizung,off,2025-09-26T17:07:42.050Z
switch.wasserbett_heizung,on,2025-09-26T17:08:12.020Z
switch.wasserbett_heizung,off,2025-09-26T17:08:42.005Z
switch.wasserbett_heizung,on,2025-09-26T17:09:12.029Z
switch.wasserbett_heizung,off,2025-09-26T17:09:42.036Z
switch.wasserbett_heizung,on,2025-09-26T17:10:12.161Z
switch.wasserbett_heizung,off,2025-09-26T17:10:42.115Z
switch.wasserbett_heizung,on,2025-09-26T17:11:12.271Z
switch.wasserbett_heizung,off,2025-09-26T17:11:42.114Z
switch.wasserbett_heizung,on,2025-09-26T17:12:11.931Z
switch.wasserbett_heizung,off,2025-09-26T17:12:42.032Z
switch.wasserbett_heizung,on,2025-09-26T17:13:12.037Z
switch.wasserbett_heizung,off,2025-09-26T17:13:42.135Z
switch.wasserbett_heizung,on,2025-09-26T17:14:12.052Z
switch.wasserbett_heizung,off,2025-09-26T17:14:42.040Z
switch.wasserbett_heizung,on,2025-09-26T17:15:12.046Z
switch.wasserbett_heizung,off,2025-09-26T17:15:42.003Z
switch.wasserbett_heizung,on,2025-09-26T17:16:12.140Z
switch.wasserbett_heizung,off,2025-09-26T17:16:41.874Z
switch.wasserbett_heizung,on,2025-09-26T17:17:12.003Z
switch.wasserbett_heizung,off,2025-09-26T17:17:43.132Z
switch.wasserbett_heizung,on,2025-09-26T17:18:12.516Z
switch.wasserbett_heizung,off,2025-09-26T17:18:42.481Z
switch.wasserbett_heizung,on,2025-09-26T17:19:12.498Z
switch.wasserbett_heizung,off,2025-09-26T17:19:42.058Z
switch.wasserbett_heizung,on,2025-09-26T17:20:12.060Z
switch.wasserbett_heizung,off,2025-09-26T17:20:42.108Z
switch.wasserbett_heizung,on,2025-09-26T17:21:11.987Z
switch.wasserbett_heizung,off,2025-09-26T17:21:42.056Z
switch.wasserbett_heizung,on,2025-09-26T17:22:11.975Z
switch.wasserbett_heizung,off,2025-09-26T17:22:42.102Z
switch.wasserbett_heizung,on,2025-09-26T17:23:12.044Z
switch.wasserbett_heizung,off,2025-09-26T17:23:42.047Z
switch.wasserbett_heizung,on,2025-09-26T17:24:12.032Z
switch.wasserbett_heizung,off,2025-09-26T17:24:41.948Z
switch.wasserbett_heizung,on,2025-09-26T17:25:12.015Z
switch.wasserbett_heizung,off,2025-09-26T17:25:41.991Z
switch.wasserbett_heizung,on,2025-09-26T17:26:11.945Z
switch.wasserbett_heizung,off,2025-09-26T17:26:42.564Z
switch.wasserbett_heizung,on,2025-09-26T17:27:12.124Z
switch.wasserbett_heizung,off,2025-09-26T17:27:42.106Z
switch.wasserbett_heizung,on,2025-09-26T17:28:11.928Z
switch.wasserbett_heizung,off,2025-09-26T17:28:42.015Z
switch.wasserbett_heizung,on,2025-09-26T17:29:12.307Z
switch.wasserbett_heizung,off,2025-09-26T17:29:42.019Z
switch.wasserbett_heizung,on,2025-09-26T17:30:11.945Z
switch.wasserbett_heizung,off,2025-09-26T17:30:42.114Z
switch.wasserbett_heizung,on,2025-09-26T17:31:11.999Z
switch.wasserbett_heizung,off,2025-09-26T17:31:42.099Z
switch.wasserbett_heizung,on,2025-09-26T17:32:12.093Z
switch.wasserbett_heizung,off,2025-09-26T17:32:41.941Z
switch.wasserbett_heizung,on,2025-09-26T17:33:12.069Z
switch.wasserbett_heizung,off,2025-09-26T17:33:42.041Z
switch.wasserbett_heizung,on,2025-09-26T17:34:12.025Z
switch.wasserbett_heizung,off,2025-09-26T17:34:42.014Z
switch.wasserbett_heizung,on,2025-09-26T17:35:12.091Z
switch.wasserbett_heizung,off,2025-09-26T17:35:42.058Z
switch.wasserbett_heizung,on,2025-09-26T17:36:12.110Z
switch.wasserbett_heizung,off,2025-09-26T17:36:42.053Z
switch.wasserbett_heizung,on,2025-09-26T17:37:12.088Z
switch.wasserbett_heizung,off,2025-09-26T17:37:42.290Z
switch.wasserbett_heizung,on,2025-09-26T17:38:12.078Z
switch.wasserbett_heizung,off,2025-09-26T17:38:42.087Z
switch.wasserbett_heizung,on,2025-09-26T17:39:12.033Z
switch.wasserbett_heizung,off,2025-09-26T17:39:41.984Z
switch.wasserbett_heizung,on,2025-09-26T17:40:12.074Z
switch.wasserbett_heizung,off,2025-09-26T17:40:41.955Z
switch.wasserbett_heizung,on,2025-09-26T17:41:12.018Z
switch.wasserbett_heizung,off,2025-09-26T17:41:42.057Z
switch.wasserbett_heizung,on,2025-09-26T17:42:12.024Z
switch.wasserbett_heizung,off,2025-09-26T17:42:42.102Z
switch.wasserbett_heizung,on,2025-09-26T17:43:12.025Z
switch.wasserbett_heizung,off,2025-09-26T17:43:41.997Z
switch.wasserbett_heizung,on,2025-09-26T17:44:11.997Z
switch.wasserbett_heizung,off,2025-09-26T17:44:42.112Z
switch.wasserbett_heizung,on,2025-09-26T17:45:11.991Z
switch.wasserbett_heizung,off,2025-09-26T17:45:42.055Z
switch.wasserbett_heizung,on,2025-09-26T17:46:12.027Z
switch.wasserbett_heizung,off,2025-09-26T17:46:42.078Z
switch.wasserbett_heizung,on,2025-09-26T17:47:12.114Z
switch.wasserbett_heizung,off,2025-09-26T17:47:42.101Z
switch.wasserbett_heizung,on,2025-09-26T17:48:12.122Z
switch.wasserbett_heizung,off,2025-09-26T17:48:42.169Z
switch.wasserbett_heizung,on,2025-09-26T17:49:12.042Z
switch.wasserbett_heizung,off,2025-09-26T17:49:41.939Z
switch.wasserbett_heizung,on,2025-09-26T17:50:12.146Z
switch.wasserbett_heizung,off,2025-09-26T17:50:42.088Z
switch.wasserbett_heizung,on,2025-09-26T17:51:11.995Z
switch.wasserbett_heizung,off,2025-09-26T17:51:42.000Z
switch.wasserbett_heizung,on,2025-09-26T17:52:11.985Z
switch.wasserbett_heizung,off,2025-09-26T17:52:42.182Z
switch.wasserbett_heizung,on,2025-09-26T17:53:12.113Z
switch.wasserbett_heizung,off,2025-09-26T17:53:42.245Z
switch.wasserbett_heizung,on,2025-09-26T17:54:11.963Z
switch.wasserbett_heizung,off,2025-09-26T17:54:42.084Z
switch.wasserbett_heizung,on,2025-09-26T17:55:12.000Z
switch.wasserbett_heizung,off,2025-09-26T17:55:42.076Z
switch.wasserbett_heizung,on,2025-09-26T17:56:12.001Z
switch.wasserbett_heizung,off,2025-09-26T17:56:42.014Z
switch.wasserbett_heizung,on,2025-09-26T17:57:12.145Z
switch.wasserbett_heizung,off,2025-09-26T17:57:42.038Z
switch.wasserbett_heizung,on,2025-09-26T17:58:12.099Z
switch.wasserbett_heizung,off,2025-09-26T17:58:42.176Z
switch.wasserbett_heizung,on,2025-09-26T17:59:12.013Z
switch.wasserbett_heizung,off,2025-09-26T17:59:42.254Z
switch.wasserbett_heizung,on,2025-09-26T18:00:12.454Z
switch.wasserbett_heizung,off,2025-09-26T18:00:42.019Z
switch.wasserbett_heizung,on,2025-09-26T18:01:11.998Z
switch.wasserbett_heizung,off,2025-09-26T18:01:42.154Z
switch.wasserbett_heizung,on,2025-09-26T18:02:12.107Z
switch.wasserbett_heizung,off,2025-09-26T18:02:42.138Z
switch.wasserbett_heizung,on,2025-09-26T18:03:11.964Z
switch.wasserbett_heizung,off,2025-09-26T18:03:42.146Z
switch.wasserbett_heizung,on,2025-09-26T18:04:12.205Z
switch.wasserbett_heizung,off,2025-09-26T18:04:42.105Z
switch.wasserbett_heizung,on,2025-09-26T18:05:12.005Z
switch.wasserbett_heizung,off,2025-09-26T18:05:42.118Z
switch.wasserbett_heizung,on,2025-09-26T18:06:12.012Z
switch.wasserbett_heizung,off,2025-09-26T18:06:42.045Z
switch.wasserbett_heizung,on,2025-09-26T18:07:11.939Z
switch.wasserbett_heizung,off,2025-09-26T18:07:41.969Z
switch.wasserbett_heizung,on,2025-09-26T18:08:11.982Z
switch.wasserbett_heizung,off,2025-09-26T18:08:42.047Z
switch.wasserbett_heizung,on,2025-09-26T18:09:12.053Z
switch.wasserbett_heizung,off,2025-09-26T18:09:42.068Z
switch.wasserbett_heizung,on,2025-09-26T18:10:12.106Z
switch.wasserbett_heizung,off,2025-09-26T18:10:41.957Z
switch.wasserbett_heizung,on,2025-09-26T18:11:12.053Z
switch.wasserbett_heizung,off,2025-09-26T18:11:42.035Z
switch.wasserbett_heizung,on,2025-09-26T18:12:12.098Z
switch.wasserbett_heizung,off,2025-09-26T18:12:42.144Z
switch.wasserbett_heizung,on,2025-09-26T18:13:12.047Z
switch.wasserbett_heizung,off,2025-09-26T18:13:42.061Z
switch.wasserbett_heizung,on,2025-09-26T18:14:12.176Z
switch.wasserbett_heizung,off,2025-09-26T18:14:41.978Z
switch.wasserbett_heizung,on,2025-09-26T18:15:12.088Z
switch.wasserbett_heizung,off,2025-09-26T18:15:41.895Z
switch.wasserbett_heizung,on,2025-09-26T18:16:11.983Z
switch.wasserbett_heizung,off,2025-09-26T18:16:42.040Z
switch.wasserbett_heizung,on,2025-09-26T18:17:12.003Z
switch.wasserbett_heizung,off,2025-09-26T18:17:41.990Z
switch.wasserbett_heizung,on,2025-09-26T18:18:12.125Z
switch.wasserbett_heizung,off,2025-09-26T18:18:42.041Z
switch.wasserbett_heizung,on,2025-09-26T18:19:12.020Z
switch.wasserbett_heizung,off,2025-09-26T18:19:41.970Z
switch.wasserbett_heizung,on,2025-09-26T18:20:11.965Z
switch.wasserbett_heizung,off,2025-09-26T18:20:42.020Z
switch.wasserbett_heizung,on,2025-09-26T18:21:11.980Z
switch.wasserbett_heizung,off,2025-09-26T18:21:42.101Z
switch.wasserbett_heizung,on,2025-09-26T18:22:11.982Z
switch.wasserbett_heizung,off,2025-09-26T18:22:42.042Z
switch.wasserbett_heizung,on,2025-09-26T18:23:12.026Z
switch.wasserbett_heizung,off,2025-09-26T18:23:42.142Z
switch.wasserbett_heizung,on,2025-09-26T18:24:11.938Z
switch.wasserbett_heizung,off,2025-09-26T18:24:41.926Z
switch.wasserbett_heizung,on,2025-09-26T18:25:12.025Z
switch.wasserbett_heizung,off,2025-09-26T18:25:41.974Z
switch.wasserbett_heizung,on,2025-09-26T18:26:11.955Z
switch.wasserbett_heizung,off,2025-09-26T18:26:42.043Z
switch.wasserbett_heizung,on,2025-09-26T18:27:11.993Z
switch.wasserbett_heizung,off,2025-09-26T18:27:42.080Z
switch.wasserbett_heizung,on,2025-09-26T18:28:12.092Z
switch.wasserbett_heizung,off,2025-09-26T18:28:42.067Z
switch.wasserbett_heizung,on,2025-09-26T18:29:13.481Z
switch.wasserbett_heizung,off,2025-09-26T18:29:42.065Z
switch.wasserbett_heizung,on,2025-09-26T18:30:11.919Z
switch.wasserbett_heizung,off,2025-09-26T18:30:42.109Z
switch.wasserbett_heizung,on,2025-09-26T18:31:12.026Z
switch.wasserbett_heizung,off,2025-09-26T18:31:42.045Z
switch.wasserbett_heizung,on,2025-09-26T18:32:12.023Z
switch.wasserbett_heizung,off,2025-09-26T18:32:42.074Z
switch.wasserbett_heizung,on,2025-09-26T18:33:12.006Z
switch.wasserbett_heizung,off,2025-09-26T18:33:42.132Z
switch.wasserbett_heizung,on,2025-09-26T18:34:12.055Z
switch.wasserbett_heizung,off,2025-09-26T18:34:42.047Z
switch.wasserbett_heizung,on,2025-09-26T18:35:11.965Z
switch.wasserbett_heizung,off,2025-09-26T18:35:42.038Z
switch.wasserbett_heizung,on,2025-09-26T18:36:12.071Z
switch.wasserbett_heizung,off,2025-09-26T18:36:41.988Z
switch.wasserbett_heizung,on,2025-09-26T18:37:11.968Z
switch.wasserbett_heizung,off,2025-09-26T18:37:42.119Z
switch.wasserbett_heizung,on,2025-09-26T18:38:12.153Z
switch.wasserbett_heizung,off,2025-09-26T18:38:42.143Z
switch.wasserbett_heizung,on,2025-09-26T18:39:12.172Z
switch.wasserbett_heizung,off,2025-09-26T18:39:42.063Z
switch.wasserbett_heizung,on,2025-09-26T18:40:12.058Z
switch.wasserbett_heizung,off,2025-09-26T18:40:42.021Z
switch.wasserbett_heizung,on,2025-09-26T18:41:12.157Z
switch.wasserbett_heizung,off,2025-09-26T18:41:41.920Z
switch.wasserbett_heizung,on,2025-09-26T18:42:12.034Z
switch.wasserbett_heizung,off,2025-09-26T18:42:42.004Z
switch.wasserbett_heizung,on,2025-09-26T18:43:12.140Z
switch.wasserbett_heizung,off,2025-09-26T18:43:42.073Z
switch.wasserbett_heizung,on,2025-09-26T18:44:11.946Z
switch.wasserbett_heizung,off,2025-09-26T18:44:41.994Z
switch.wasserbett_heizung,on,2025-09-26T18:45:11.994Z
switch.wasserbett_heizung,off,2025-09-26T18:45:42.118Z
switch.wasserbett_heizung,on,2025-09-26T18:46:12.058Z
switch.wasserbett_heizung,off,2025-09-26T18:46:42.046Z
switch.wasserbett_heizung,on,2025-09-26T18:47:12.073Z
switch.wasserbett_heizung,off,2025-09-26T18:47:41.988Z
switch.wasserbett_heizung,on,2025-09-26T18:48:11.994Z
switch.wasserbett_heizung,off,2025-09-26T18:48:42.063Z
switch.wasserbett_heizung,on,2025-09-26T18:49:12.081Z
switch.wasserbett_heizung,off,2025-09-26T18:49:42.030Z
switch.wasserbett_heizung,on,2025-09-26T18:50:12.031Z
switch.wasserbett_heizung,off,2025-09-26T18:50:42.051Z
switch.wasserbett_heizung,on,2025-09-26T18:51:11.985Z
switch.wasserbett_heizung,off,2025-09-26T18:51:41.920Z
switch.wasserbett_heizung,on,2025-09-26T18:52:11.988Z
switch.wasserbett_heizung,off,2025-09-26T18:52:41.990Z
switch.wasserbett_heizung,on,2025-09-26T18:53:12.095Z
switch.wasserbett_heizung,off,2025-09-26T18:53:42.114Z
switch.wasserbett_heizung,on,2025-09-26T18:54:11.994Z
switch.wasserbett_heizung,off,2025-09-26T18:54:42.069Z
switch.wasserbett_heizung,on,2025-09-26T18:55:12.058Z
switch.wasserbett_heizung,off,2025-09-26T18:55:42.115Z
switch.wasserbett_heizung,on,2025-09-26T18:56:12.031Z
switch.wasserbett_heizung,off,2025-09-26T18:56:41.982Z
switch.wasserbett_heizung,on,2025-09-26T18:57:12.100Z
switch.wasserbett_heizung,off,2025-09-26T18:57:42.082Z
switch.wasserbett_heizung,on,2025-09-26T18:58:11.962Z
switch.wasserbett_heizung,off,2025-09-26T18:58:42.152Z
switch.wasserbett_heizung,on,2025-09-26T18:59:12.128Z
switch.wasserbett_heizung,off,2025-09-26T18:59:42.021Z
switch.wasserbett_heizung,on,2025-09-26T19:00:11.993Z
switch.wasserbett_heizung,off,2025-09-26T19:00:42.071Z
switch.wasserbett_heizung,on,2025-09-26T19:01:12.152Z
switch.wasserbett_heizung,off,2025-09-26T19:01:42.087Z
switch.wasserbett_heizung,on,2025-09-26T19:02:12.079Z
switch.wasserbett_heizung,off,2025-09-26T19:02:42.005Z
switch.wasserbett_heizung,on,2025-09-26T19:03:12.079Z
switch.wasserbett_heizung,off,2025-09-26T19:03:42.151Z
switch.wasserbett_heizung,on,2025-09-26T19:04:12.087Z
switch.wasserbett_heizung,off,2025-09-26T19:04:42.010Z
switch.wasserbett_heizung,on,2025-09-26T19:05:12.094Z
switch.wasserbett_heizung,off,2025-09-26T19:05:42.064Z
switch.wasserbett_heizung,on,2025-09-26T19:06:12.006Z
switch.wasserbett_heizung,off,2025-09-26T19:06:41.994Z
switch.wasserbett_heizung,on,2025-09-26T19:07:12.006Z
switch.wasserbett_heizung,off,2025-09-26T19:07:42.001Z
switch.wasserbett_heizung,on,2025-09-26T19:08:12.022Z
switch.wasserbett_heizung,off,2025-09-26T19:08:41.995Z
switch.wasserbett_heizung,on,2025-09-26T19:09:11.922Z
switch.wasserbett_heizung,off,2025-09-26T19:09:41.972Z
switch.wasserbett_heizung,on,2025-09-26T19:10:12.045Z
switch.wasserbett_heizung,off,2025-09-26T19:10:42.109Z
switch.wasserbett_heizung,on,2025-09-26T19:11:12.000Z
switch.wasserbett_heizung,off,2025-09-26T19:11:42.020Z
switch.wasserbett_heizung,on,2025-09-26T19:12:12.159Z
switch.wasserbett_heizung,off,2025-09-26T19:12:42.050Z
switch.wasserbett_heizung,on,2025-09-26T19:13:12.066Z
switch.wasserbett_heizung,off,2025-09-26T19:13:42.099Z
switch.wasserbett_heizung,on,2025-09-26T19:14:05.453Z
switch.wasserbett_heizung,off,2025-09-26T19:14:12.003Z
switch.wasserbett_heizung,on,2025-09-26T19:14:41.998Z
switch.wasserbett_heizung,off,2025-09-26T19:15:12.095Z
switch.wasserbett_heizung,on,2025-09-26T19:15:41.897Z
switch.wasserbett_heizung,off,2025-09-26T19:16:12.035Z
switch.wasserbett_heizung,on,2025-09-26T19:16:41.910Z
switch.wasserbett_heizung,off,2025-09-26T19:17:12.076Z
switch.wasserbett_heizung,on,2025-09-26T19:17:42.131Z
switch.wasserbett_heizung,off,2025-09-26T19:18:12.027Z
switch.wasserbett_heizung,on,2025-09-26T19:18:42.059Z
switch.wasserbett_heizung,off,2025-09-26T19:19:11.969Z
switch.wasserbett_heizung,on,2025-09-26T19:19:42.201Z
switch.wasserbett_heizung,off,2025-09-26T19:20:12.074Z
switch.wasserbett_heizung,on,2025-09-26T19:20:42.050Z
switch.wasserbett_heizung,off,2025-09-26T19:21:12.000Z
switch.wasserbett_heizung,on,2025-09-26T19:21:42.116Z
switch.wasserbett_heizung,off,2025-09-26T19:22:11.938Z
switch.wasserbett_heizung,on,2025-09-26T19:22:42.084Z
switch.wasserbett_heizung,off,2025-09-26T19:23:12.038Z
switch.wasserbett_heizung,on,2025-09-26T19:23:42.033Z
switch.wasserbett_heizung,off,2025-09-26T19:24:12.217Z
switch.wasserbett_heizung,on,2025-09-26T19:24:42.080Z
switch.wasserbett_heizung,off,2025-09-26T19:25:12.000Z
switch.wasserbett_heizung,on,2025-09-26T19:25:41.945Z
switch.wasserbett_heizung,off,2025-09-26T19:26:12.074Z
switch.wasserbett_heizung,on,2025-09-26T19:26:41.991Z
switch.wasserbett_heizung,off,2025-09-26T19:27:12.083Z
switch.wasserbett_heizung,on,2025-09-26T19:27:41.923Z
switch.wasserbett_heizung,off,2025-09-26T19:28:12.076Z
switch.wasserbett_heizung,on,2025-09-26T19:28:42.125Z
switch.wasserbett_heizung,off,2025-09-26T19:29:12.044Z
switch.wasserbett_heizung,on,2025-09-26T19:29:42.019Z
switch.wasserbett_heizung,off,2025-09-26T19:30:12.116Z
switch.wasserbett_heizung,on,2025-09-26T19:30:41.987Z
switch.wasserbett_heizung,off,2025-09-26T19:31:12.034Z
switch.wasserbett_heizung,on,2025-09-26T19:31:42.100Z
switch.wasserbett_heizung,off,2025-09-26T19:32:12.092Z
switch.wasserbett_heizung,on,2025-09-26T19:32:42.089Z
switch.wasserbett_heizung,off,2025-09-26T19:33:12.044Z
switch.wasserbett_heizung,on,2025-09-26T19:37:30.501Z
switch.wasserbett_heizung,off,2025-09-26T19:45:59.264Z
switch.wasserbett_heizung,on,2025-09-26T19:46:03.507Z
switch.wasserbett_heizung,off,2025-09-26T19:51:03.620Z
switch.wasserbett_heizung,on,2025-09-26T19:51:33.489Z
switch.wasserbett_heizung,off,2025-09-26T19:56:33.571Z
switch.wasserbett_heizung,on,2025-09-26T19:57:03.617Z
